Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22
Antoine Special,Other,Unknown,Red-Wine Glass,Unknown,Dubonnet,1.5 oz,Dry Vermouth,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,1: Float vermouth on top of chilled Dubonnet in a wine glass.,,,,,,,,,,,,,,,,,,,,,
Aperitivo Spritz,Prosecco,"Orange, Luxardo Cherry",Unknown,Location: San Francisco,Luxardo Aperitivo,2 oz,Prosecco,3 oz,Sparkling Water,1 splash,,,,,,,,,,,,,,,,,,,,,"1: Build Over Ice, Stir Lightly, And Garnish With An Orange Peel Or Slice And Luxardo Cherry.",,,,,,,,,,,,,,,,,,,,,
Apple Blow Fizz,Brandy,Unknown,Highball Glass,Unknown,Egg White,1 oz,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Apple Brandy,2 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass with two ice cubes.,2: Fill with carbonated water.,,,,,,,,,,,,,,,,,,,,
Apple Pie,Other,Unknown,Old-Fashioned Glass,Unknown,Apple Schnapps,3 oz,Cinnamon Schnapps,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour into ice-filled old-fashioned glass.,2: Garnish with apple and top with cinnamon.,,,,,,,,,,,,,,,,,,,,
Apple Pie Cocktail,Rum,Unknown,Cocktail Glass,Unknown,Old Mr. Boston Rum,0.75 oz,Sweet Vermouth,0.75 oz,Apple Flavored Brandy,1 oz,Grenadine,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Apple Pie No. 1,Rum,Unknown,Cocktail Glass,Unknown,Light Rum,0.75 oz,Sweet Vermouth,0.75 oz,Apple Brandy,1 oz,Grenadine,0.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Apple Rum Rickey,Rum,Unknown,Highball Glass,Unknown,Applejack,0.75 oz,Light Rum,0.75 oz,Lime,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Pour applejack and rum into highball glass over ice cubes.,2: Fill with carbonated water.,3: Squeeze lime and drop into glass.,4: Stir.,,,,,,,,,,,,,,,,,,
Apple Shrub Spritz,Vodka,Apple slices (sliced very thin),Champagne Flute glass,Bartender: Sean McClure,Karlsson'S Gold Vodka,1 oz,Spiced Apple Shrub,2.5 oz,Chilled Club Soda,2 oz,,,,,,,,,,,,,,,,,,,,,1: In A Chilled Mixing Glass Combine The Karlsson'S Gold Vodka And The Spiced Apple Shrub With Cracked Ice And Stir For 20 Seconds.,"2: Add The Chilled Club Soda To The Mixing Glass, Stir Just Until Mixed And Strain Into A Frozen Champagne Flute.",3: Garnish With Two Apple Slices Placed On The Rim.,,,,,,,,,,,,,,,,,,,
Applecar,Other,Unknown,Cocktail Glass,Unknown,Applejack,1 oz,Triple Sec,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Apples & Grapes,Other,Unknown,Unknown,"Bartender: Matt Grippo, Bar: Blackbird, Location: San Francisco",Tempus Fugit Kina L'Aero D'Or,1.5 oz,C. Drouin Pommeau De Normandie,1 oz,Orange Bitters,2 dash,,,,,,,,,,,,,,,,,,,,,1: On The Rocks With Twist.,,,,,,,,,,,,,,,,,,,,,
Apricot Anise Collins,Gin,Unknown,Collins Glass,Unknown,Gin,1.5 oz,Apricot-Flavored Brandy,0.5 oz,Anisette,1.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into Collins glass over ice.,2: Fill with carbonated water and stir lightly.,3: Garnish with a slice of lemon.,,,,,,,,,,,,,,,,,,,
Apricot Anisette Collins,Gin,Unknown,Collins Glass,Unknown,Gin,1.5 oz,Apricot Flavored Brandy,0.5 oz,Anisette,1.5 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into collins glass over ice.,2: Fill with club soda and stir lightly.,3: Garnish with a slice of lemon.,,,,,,,,,,,,,,,,,,,
Apricot Blush,Vodka,Sprig of mint,Unknown,Bartender: Francesco Lafranconi,Vanilla Flavored Vodka,1 oz,Luxardo Apricot Liqueur,0.75 oz,Fresh Sweet N' Sour Mix,1 oz,Prosecco,3 oz,Sliced Plum,,Sprigs Mint Sprig,2,,,,,,,,,,,,,,,"1: In A Tall Glass Muddle The Mint And Plum With Fresh Sweet N' Sour, Pour The Liquors Then Fill Up With Ice And Top With Prosecco.",,,,,,,,,,,,,,,,,,,,,
Apricot Cocktail,Brandy,Unknown,Cocktail Glass,Unknown,Juice Of A Lemon,0.25 oz,Juice Of Orange,0.25 oz,Apricot Flavored Brandy,1.5 oz,Gin,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Aquarius,Whiskey,Unknown,Old-Fashioned Glass,Unknown,Blended Scotch Whiskey,1.5 oz,Cherry-Flavored Brandy,0.5 oz,Cranberry Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice.,,,,,,,,,,,,,,,,,,,,,
Aqueduct,Vodka,Unknown,Cocktail Glass,Unknown,Vodka,1.5 oz,Fresh Lime Juice,0.75 oz,White Curacao Or Triple Sec,0.5 oz,Apricot-Flavored Brandy,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,
Arapa Cocktail,Pisco,Luxardo Cherry,Martini glass,Unknown,Barsol Supremo Moste Verde Italia Pisco,1.5 oz,Junipero Gin,0.5 oz,Luxardo Triplum (Triple Sec),0.75 oz,Lemon Juice,0.5 oz,Fee Bros. Rhubard Bitters,1 dash,,,,,,,,,,,,,,,,,1: Shake All Ingredients With Ice.,2: Double Strain Into A Chilled Martini Glass.,3: Garnish With A Luxardo Maraschino Cherry.,,,,,,,,,,,,,,,,,,,
Astoria,Gin,Lemon Twist,Cocktail Glass,Unknown,Junipero Gin,2 oz,Dry Vermouth,1 oz,Orange Bitters,1-2 dash,,,,,,,,,,,,,,,,,,,,,"1: Stir Over Ice For At Least 30 Seconds, Strain Into Cocktail Glass.",2: Garnish With Lemon Twist.,,,,,,,,,,,,,,,,,,,,
Aunt Jemima,Brandy,Unknown,Pousse-Cafe_ Glass,Unknown,Brandy,0.5 oz,White Creme De Cacao,0.5 oz,Benedictine,0.5 oz,,,,,,,,,,,,,,,,,,,,,"1: Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",,,,,,,,,,,,,,,,,,,,,
Autumn Leaves,Whiskey,Unknown,Old-Fashioned Glass,Unknown,Straight Rye Whiskey,0.75 oz,Apple Brandy,0.75 oz,Sweet Vermouth,0.75 oz,Strega,0.25 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into ice-filled old-fashioned glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,
Aviation (Adapted),Gin,"Lemon Peel, Luxardo Cherry",Cocktail Glass,Unknown,No.3 London Dry Gin,2 oz,Luxardo Maraschino Liqueur,0.5 oz,Fresh Lemon Juice,0.5 oz,Tempus Fugit Liqueur De Violettes,0.25 oz,,,,,,,,,,,,,,,,,,,"1: Shake Gin, Maraschino, And Lemon Juice With Ice Then Strain Into A Chilled Cocktail Glass.",2: Use A Bar Spoon To Float The Violettes (Which It Will Sink) Into The Bottom Of The Glass.,3: Garnish With A Lemon Peel And A Luxardo Cherry On A Pick.,,,,,,,,,,,,,,,,,,,
Aztec's Mark,Whiskey,Unknown,Cocktail Glass,Unknown,Bourbon Whiskey,1.5 oz,White Creme De Cacao,0.5 oz,Benedictine,0.25 oz,Hot Red Pepper Sauce,2 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add orange twist.,,,,,,,,,,,,,,,,,,,,
Añejo Highball,Rum,Lime wheel,Highball glass,Bitters: A Spirited History of a Classic Cure-all,Añejo Rum,1.5 oz,Orange Curacao,0.5 oz,Fresh Squeezed Lime Juice,0.25 oz,Bitters #9,2 dashes,,,,,,,,,,,,,,,,,,,"1: Build the rum, curacao, lime juice, and bitters in a highball glass filled with ice.",2: Top with ginger beer and stir.,3: Garnish with lime and orange wheels.,,,,,,,,,,,,,,,,,,,
B-String,H By Hine,Banana Chip,Coupe glass,"Bar: Dirty Habit, Location: San Francisco",H By Hine,1.5 oz,Lustau Amontillado Sherry,1 oz,Giffard Banane Du Brésil,0.5 oz,House-Made Roasted Banana Bitters (Or Bittermens Tiki Bitters),3 dash,,,,,,,,,,,,,,,,,,,1: Stir With Ice For About 20 Seconds And Then Strain Into A Chilled Cocktail Coupe.,,,,,,,,,,,,,,,,,,,,,
Bacardi Cocktail,Rum,Unknown,Cocktail Glass,Unknown,Bacardi Rum,1.5 oz,Juice Of A Lime,0.5 oz,Grenadine,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Bachelor's Bait,Gin,Unknown,Cocktail Glass,"Bartender: James Martin, Bar: The Sipologist",Junipero Gin,2 oz,Grapefruit Shrub,6 dash,Orange Bitters,3 dash,Grenadine,1 dash, Egg White,1,,,,,,,,,,,,,,,,,1: Shake With Cracked Ice And Strain Into A Chilled Cocktail Glass.,,,,,,,,,,,,,,,,,,,,,
Bachelor's Bait Cocktail,Gin,Unknown,Cocktail Glass,Unknown,Gin,1.5 oz,Egg White,1 oz,Orange Bitters,1 oz,Grenadine,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Bacio Romana,Pisco,"Cinnamon Stick, Orange Twist",Coupe glass,"Bartender: Harold Madison, Location: Houston",Luxardo Bitter Bianco,1.5 oz,Barsol Pisco,0.5 oz,Luxardo Maraschino Liqueur,0.5 oz,Dry Vermouth,0.5 oz,,,,,,,,,,,,,,,,,,,1: Combine All Ingredients Into Mixing Glass.,2: Add Ice.,3: Stir Until Very Cold.,4: Strain And Fine Strain To Prevent Ice Chips In Coupe Glass.,5: Garnish With Orange Twist Entwined Around A Cinnamon Stick.,,,,,,,,,,,,,,,,,
Back Porch Swizzle,Whiskey,Unknown,Highball Glass,Unknown,Bourbon Whiskey,1.5 oz,Dry Vermouth,0.5 oz,Pineapple Juice,1 oz,Ginger Beer,1 oz,,,,,,,,,,,,,,,,,,,1: Pour first four ingredients in crushed ice-filled highball glass.,"2: With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted.","3: Float Chartreuse on top, and garnish with mint.",,,,,,,,,,,,,,,,,,,
Baile de Verano,Rum,Unknown,Highball Glass,"Bartender: Tyler Chauvin, Bar: Treo, Location: New Orleans",Barsol Perfecto Amor (Aperitif Wine),2 oz,Penny Blue Mauritian Rum,0.5 oz,Celery Shrub,6 dash,House-Made Tarragon Tincture,3 dash,,,,,,,,,,,,,,,,,,,"1: Combine All Ingredients In A Shaker Tin, Add Ice, And Shake Vigorously.",2: Double Strain With A Fine Mesh Strainer Into A Highball Glass.,,,,,,,,,,,,,,,,,,,,
Bajo Control,Other,Orange Horse-neck Peel,Hurricane Glass,"Bartender: Enrique Sanchez, Bar: The Commissary",Barsol Perfecto Amor (Aperitif Wine),2 oz,Dolin Dry Vermouth,1 oz,Lemon Juice,0.75 oz,Agave Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients And Double Strain.,"2: Serve In A Hurricane Glass, Add 2 Oz Lager.",3: Garnish With An Orange Horse-Neck Peel.,,,,,,,,,,,,,,,,,,,
Bakko & Zengo,Whisky,Unknown,Unknown,"Bartender: Nick Jones, Bar: Pabu, Location: San Francisco",Nikka Coffey Grain Whisky,1.5 oz,House-Made Allspice Dram,0.25 oz,Heavy Cream,0.25 oz,Simple Syrup,0.25 oz, Whole Egg,1,Chocolate Bitters,2 dash,,,,,,,,,,,,,,,1: Served In A Snifter With Grated Cinnamon.,,,,,,,,,,,,,,,,,,,,,
Ballad of Casey Robinson,Gin,Lime twist,Rocks glass,"Nathan Weber, TL 2010",Gin,1.5 oz,Lemon Juice,1 oz,Demerara Sugar,0.5 oz,Bitters #9,1 dash,Slice Habanero Muddled,1,,,,,,,,,,,,,,,,,"1: Stir together ingredients in rocks glass, crushed ice.",2: Garnish lime twist.,,,,,,,,,,,,,,,,,,,,
Baltimore Bracer,Brandy,Unknown,Cocktail Glass,Unknown,Anisette,1 oz,Brandy,1 oz,Egg White,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Baltimore Bracer Cocktail,Brandy,Unknown,Cocktail Glass,Unknown,Old Mr. Boston Anisette ,1 oz,Old Mr. Boston Five Star Brandy,1 oz,Egg White,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Banana's Froster,Gin,Fresh mint sprig,Unknown,"Bar: Jazz Kitchen, Location: New Orleans",Junipero Gin,1.5 oz,Briottet Creme De Banane,1 oz,Cream (Half & Half),0.5 oz,Chocolate Bitters,2 dash,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients Vigorously With Lots Of Ice In A Shaker.,"2: Strain, And Serve.",3: Garnish With A Fresh Mint Sprig.,,,,,,,,,,,,,,,,,,,
Barbary Coast Bulldog,Vodka,Luxardo Cherry,Bucket glass,Unknown,Hophead Vodka,1.5 oz,Luxardo Espresso Italian Liqueur,0.75 oz,Cream,2 oz,Mexican Coca Cola,2 oz,,,,,,,,,,,,,,,,,,,"1: In A Bucket Glass, Combine Hophead, Coffee Liqueur, And Cream.",2: Add Ice And Give A Quick Stir.,3: Top With Cold Mexican Coke And Garnish With A Luxardo Cherry.,,,,,,,,,,,,,,,,,,,
Barbary Coast Cocktail,Gin,Unknown,Cocktail Glass,Unknown,Old Mr. Boston Dry Gin,0.5 oz,Old Mr. Boston Rum,0.5 oz,Old Mr. Boston Creme De Cacao,0.5 oz,Desmond & Duff Scotch Whisky,0.5 oz,Sweet Cream,0.5 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Barrel Aged Ginger Negroni,Gin,Unknown,Unknown,"Bartender: Nusan Brounstein, Bar: Fog Harbor Fish House, Location: San Francisco",Junipero Gin,1 part,King'S Ginger Liqueur,1 part,Campari,1 part,Sweet Vermouth,1 part,,,,,,,,,,,,,,,,,,,1: Mix Equal Parts Of The 4 Spirits And Age In A 5 Liter Oak Barrel For 30 Days.,2: Transfer Into Glass Bottles And Rest For A Minimum Of 3 Days.,"3: Make Giant (2"" X 2"") Ice Cubes With An Orange Peel Frozen Inside.",4: Pour Negroni On Ice Cube And Serve.,,,,,,,,,,,,,,,,,,
Barton Special,Scotch,Unknown,Old-Fashioned Glass,Unknown,Applejack,0.5 oz,Scotch,0.25 oz,Gin,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,
Basil 8,Vodka,Unknown,Collins Glass,Unknown,Fresh Basil Leaves,3 oz,White Grapes,5 oz,Vodka,1.5 oz,Fresh Lime Juice,0.75 oz,"Each Simple Syrup, Angostura Bitters",1 oz,,,,,,,,,,,,,,,,,1: Muddle basil and 5 grapes in Collins glass.,2: Add next four ingredients and stir.,3: Add ice and top with ginger ale.,4: Garnish with basil sprig and 1 white grape.,,,,,,,,,,,,,,,,,,
Basil Gin and Tonic,Gin,Unknown,Unknown,Unknown,Lime Juice,1 oz,Spg Basil,1,Tonic Water,2 oz,Junipero Gin,1 oz,,,,,,,,,,,,,,,,,,,"1: Muddle The Basil With The Lime Juice, Then Add Tonic Water.",2: Fill Glass With Ice And Stir In The Gin.,,,,,,,,,,,,,,,,,,,,
Basilway Daquiri,Rum,Basil Leaf,Coupe glass,"Bartender: Sam Treadway, Bar: Backbar, Location: Somerville",Basil-Infused White Rum,1.5 oz,King'S Ginger Liqueur,0.5 oz,Fresh Lime Juice,0.25 oz,Luxardo Maraschino Liqueur,0.25 oz,Bsp,1,,,,,,,,,,,,,,,,,1: Shake With Ice And Single Strain Into A Coupe Glass.,2: Garnish With Basil Leaf.,,,,,,,,,,,,,,,,,,,,
Basin Street,Whiskey,Unknown,Cocktail Glass,Unknown,Bourbon Whiskey,2 oz,Triple Sec,0.75 oz,Fresh Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Shake well with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Bay City Shandy,Vodka,Unknown,Unknown,"Bar: The Gladly, Location: Phoenix",Hophead Vodka,1.5 oz,Giffard Pamplemousse,0.75 oz,Lemon Juice,0.5 oz,Orange Bitters,2 dash,,,,,,,,,,,,,,,,,,,"1: Combine Hophead, Lemon Juice, Giffard Pamplemousse, Honey Syrup, And Bitters In A Shaker.",2: Add Ice And Shake Vigorously.,3: Strain Into A Chilled Glass.,4: Fill The Glass With Beer.,,,,,,,,,,,,,,,,,,
Beachcomber,Rum,Unknown,Cocktail Glass,Unknown,Light Rum,1.5 oz, Cointreau,0.75 oz,Lime Juice,0.75 oz,Luxardo Maraschino Liqueur,0.25 oz,Simple Syrup (Optional),0.125 oz,,,,,,,,,,,,,,,,,1: Combine The Ingredients In A Boston Shaker Or Cocktail Shaker.,2: Add Ice And Shake Vigorously For 10 Seconds.,3: Strain The Contents Into A Chilled Cocktail Glass.,,,,,,,,,,,,,,,,,,,
Beals Cocktail,Whiskey,Unknown,Cocktail Glass,Unknown,Blended Scotch Whiskey,1.5 oz,Dry Vermouth,0.5 oz,Sweet Vermouth,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Bella Fragolia,Vodka,Unknown,Old-Fashioned Glass,Unknown,"Strawberry, Chopped",1 oz,Fresh Basil Leaves,4 oz,Vodka,2 oz,Fresh Lemon Juice,1 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,1: Muddle chopped strawberry and 4 basil leaves in mixing glass.,"2: Add vodka, lemon juice, and syrup with ice and shake well.",3: Double-strain into ice-filled old-fashioned glass and top with soda water.,4: Garnish with strawberry and basil.,,,,,,,,,,,,,,,,,,
Bensonhurst,Whiskey,Unknown,Cocktail Glass,Unknown,Cynar,1 oz,Straight Rye Whiskey,2 oz,Dry Vermouth,1 oz,Maraschino Liqueur,0.25 oz,,,,,,,,,,,,,,,,,,,1: Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar.,2: Stir remaining ingredients with ice and strain into glass.,,,,,,,,,,,,,,,,,,,,
Bentley,Brandy,Unknown,Cocktail Glass,Unknown,Apple Brandy,1.5 oz,Dubonnet,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with cracked ice and strain into cocktail glass.,2: Add a twist of lemon peel.,,,,,,,,,,,,,,,,,,,,
Bermuda Highball,Cognac,Orange Peel,Collins glass,Unknown,Chateau De Montifaud Cognac Vsop,1 oz,Plymouth Gin,1 oz,Contratto Bianco Vermouth,1 oz,Regans' Orange Bitters No. 6,2 dash,Club Soda,3 oz,,,,,,,,,,,,,,,,,1: Add Spirits And Bitters To Collins Glass.,2: Add Large Ice Cubes And Fill With Club Soda.,3: Garnish With Orange Peel (Or Lemon Peel).,,,,,,,,,,,,,,,,,,,
Bermuda Rose ,Gin,Unknown,Cocktail Glass,Unknown,Gin,1.25 oz,Apricot Flavored Brandy,1.5 oz,Grenadine,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Bermuda Rose Cocktail,Gin,Unknown,Cocktail Glass,Unknown,Old Mr. Boston Dry Gin,1.25 oz,Old Mr. Boston Apricot Flavored Brandy,1.5 oz,Grenadine,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Between-The-Sheets Cocktail,Brandy,Unknown,Cocktail Glass,Unknown,Juice Of A Lemon,0.25 oz,Brandy,0.5 oz,Triple Sec,0.5 oz,Light Rum,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Biffy Cocktail,Gin,Unknown,Cocktail Glass,Unknown,Juice Of A Lemon,0.5 oz,Swedish Punch,1 oz,Gin,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Big Red Hooter,Tequila,Unknown,Collins Glass,Unknown,Blanco Tequila,1 oz,Amaretto,0.75 oz,Pineapple Juice,2 oz,Grenadine,0.5 oz,,,,,,,,,,,,,,,,,,,1: Pour tequila and amaretto into ice-filled Collins glass.,2: Fill with pineapple juice and top with grenadine.,3: Add cherry.,4: Serve with straw.,,,,,,,,,,,,,,,,,,
Big and Bright,Gin,Unknown,Collins glass,"Bartender: Brian Floyd, Location: Austin",No.3 London Dry Gin,1.5 oz,King'S Ginger Liqueur,0.5 oz,Fresh Grapefruit Juice,1 oz,Honey,0.25 oz,Fresh Lime Juice,0.25 oz,Fire And Damnation Bitters,1 dash,Club Soda,1 splash,,,,,,,,,,,,,1: Serve Tall On The Rocks.,,,,,,,,,,,,,,,,,,,,,
Bikini,Vodka,Unknown,Cocktail Glass,Unknown,Vodka,1 oz,Light Rum,0.5 oz,Fresh Lemon Juice,0.5 oz,Milk,0.5 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,
Billy Taylor,Gin,Unknown,Collins Glass,Unknown,Juice Of A Lime,0.5 oz,Gin,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Fill collins glass with club soda and ice cubes.,2: Stir in lime juice and gin.,,,,,,,,,,,,,,,,,,,,
Bird On,H By Hine,Lemon Wedge,Unknown,"Bartender: Kelly O'Hare, Bar: Small Victory, Location: Austin",Tempus Fugit Creme De Menthe Glaciale,0.75 oz,Tempus Fugit Alessio Vermouth Bianco,0.75 oz,H By Hine,0.75 oz,Lemon Juice,0.375 oz,Lime Juice,0.375 oz,,,,,,,,,,,,,,,,,"1: Shake, Serve On The Rocks, Garnish With A Lemon Wedge.",,,,,,,,,,,,,,,,,,,,,
Bird is the Word,Rum,Luxardo Cherry,Coupe glass,Unknown,Pink Pigeon Rum,0.75 oz,Luxardo Maraschino Liqueur,0.75 oz,Green Chartreuse,0.75 oz,Lime Juice,0.5 oz,Pineapple Juice,0.5 oz,,,,,,,,,,,,,,,,,1: Cold Shake-Strain Into Coupe And Garnish With A Luxardo Maraschino Cherry.,,,,,,,,,,,,,,,,,,,,,
Bird on a Wire,Rum,Lemon peel,Unknown,Bartender: Kate Grutman,Pink Pigeon Rum,1.5 oz,Nikka Whisky Taketsuru Pure Malt 12 Yo,0.5 oz,Peychaud'S Bitters,0.5 oz,Luxardo Maraschino Liqueur,0.5 oz,,,,,,,,,,,,,,,,,,,1: Stir Ingredients Together And Strain Into An Absinthe-Rinsed Coupe.,2: Garnish With A Lemon Twist/Peel.,,,,,,,,,,,,,,,,,,,,
Bird to Buck,Rum,Unknown,Unknown,"Bartender: Tiki Dave , Bar: The Usual, Location: Fort Worth",Pink Pigeon Rum,1.5 part,Benedictine,0.5 part,Orgeat Syrup,0.25 part,Lime,0.5 part,Fee Brothers Whiskey Barrel Bitters,,,,,,,,,,,,,,,,,,1: Shake Fine And Strain On Crushed Ice.,2: Top With Strong Ginger Beer.,,,,,,,,,,,,,,,,,,,,
Bird-of-Paradise Fizz,Gin,Unknown,Highball Glass,Unknown,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Egg White,1 oz,Grenadine,1 oz,Gin,2 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over two ice cubes.,2: Fill with carbonated water.,,,,,,,,,,,,,,,,,,,,
Bitter Love,Gin,Strawberry slice,Champagne flute glass,Scrappys,Fresh Made Strawberry Syrup,0.25 oz,Campari,0.25 oz,Gin,1 oz,Bitters #9,2 dashes,,,,,,,,,,,,,,,,,,,1: Combine ingredients.,"2: Top with prosecco, serve in champagne flute.",,,,,,,,,,,,,,,,,,,,
Black Cherry Chocolate,Vodka,Unknown,Cocktail Glass,Unknown,Black Cherry-Flavored Vodka,1.25 oz,White Chocolate Liqueur,0.75 oz,Black Cherry Juice,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Black Hawk,Whiskey,Unknown,Cocktail Glass,Unknown,Bourbon Whiskey,1.5 oz,Sloe Gin,1.5 oz,Maraschino Cherry,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with cherry.,,,,,,,,,,,,,,,,,,,,
Black Hawk Cocktail,Whiskey,Unknown,Cocktail Glass,Unknown,Old Thompson Blended Whiskey,1.25 oz,Old Mr. Boston Sloe Gin,1.25 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Serve with a cherry.,,,,,,,,,,,,,,,,,,,,
Black Jam,Other,Lemon verbena sprig,Unknown,Bartender: Francesco Lafranconi,Luxardo Fernet,1.5 oz,Honey Syrup,0.75 oz,Fresh Lemon Juice,0.75 oz,Tonic Water,4 oz,,,,,,,,,,,,,,,,,,,"1: Shake The First Three Ingredients With Ice Then Strain Into A Collins Glass And Fill Up With Tonic Water, Stir And Serve.",,,,,,,,,,,,,,,,,,,,,
Black Magic,Vodka,Unknown,Old-Fashioned Glass,Unknown,Vodka,1.5 oz,Coffee Liqueur,0.75 oz,Fresh Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled old-fashioned glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,
Black Russian,Vodka,Unknown,Old-Fashioned Glass,Unknown,Vodka,1.5 oz,Coffee Liqueur,0.75 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour into ice-filled old-fashioned glass and stir.,,,,,,,,,,,,,,,,,,,,,
Black Velvet,Champagne,Unknown,Champagne Flute glass,Unknown,Chilled Stout,5 oz,Chilled Champagne,5 oz,,,,,,,,,,,,,,,,,,,,,,,"1: Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix.",,,,,,,,,,,,,,,,,,,,,
